sex,smoker,size
Female,No,2
Male,No,3
Male,No,3
Male,No,2
Female,No,4
Male,No,4
Male,No,2
Male,No,4
Male,No,2
Male,No,2
Male,No,2
Female,No,4
Male,No,2
Male,No,4
Female,No,2
Male,No,2
Female,No,3
Male,No,3
Female,No,3
Male,No,3
Male,No,2
Female,No,2
Female,No,2
Male,No,4
Male,No,2
Male,No,4
Male,No,2
Male,No,2
Male,No,2
Female,No,2
Male,No,2
Male,No,4
Female,No,2
Female,No,4
Male,No,2
Male,No,3
Male,No,3
Female,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,2
Male,No,2
Male,No,2
Male,No,4
Male,No,2
Male,No,2
Male,No,4
Male,No,3
Male,No,2
Male,No,2
Female,No,2
Female,No,4
Male,No,2
Male,No,4
Male,No,2
Male,Yes,4
Female,No,2
Male,Yes,2
Male,No,4
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,4
Male,No,3
Male,No,3
Female,No,2
Female,Yes,1
Male,No,2
Male,Yes,2
Male,No,2
Female,No,3
Female,Yes,2
Female,Yes,2
Female,No,2
Male,No,2
Male,Yes,2
Male,No,4
Male,No,2
Male,No,2
Male,Yes,2
Male,No,2
Female,No,1
Male,Yes,2
Male,No,2
Female,No,4
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,Yes,2
Male,No,2
Female,Yes,2
Female,Yes,2
Female,No,2
Male,Yes,4
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,No,2
Female,Yes,2
Female,Yes,2
Female,Yes,3
Female,Yes,2
Female,No,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,No,2
Female,Yes,2
Male,No,2
Female,No,1
Male,No,3
Male,No,2
Female,No,3
Female,No,2
Male,No,4
Female,No,2
Female,No,2
Female,No,4
Male,No,2
Female,No,2
Male,No,2
Male,No,2
Female,No,2
Female,No,6
Male,No,2
Female,No,2
Female,No,2
Male,No,3
Male,No,2
Female,No,2
Female,No,2
Female,No,2
Female,No,2
Female,No,2
Female,No,2
Female,No,2
Male,Yes,2
Female,No,2
Female,No,2
Male,No,6
Male,No,5
Female,No,6
Female,No,2
Female,No,2
Female,No,3
Female,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,3
Male,No,4
Male,No,4
Female,No,5
Male,No,6
Female,No,4
Female,No,2
Male,No,4
Male,No,4
Male,No,2
Female,No,3
Male,No,2
Female,Yes,2
Male,No,3
Male,No,2
Male,No,4
Female,Yes,2
Female,Yes,2
Male,Yes,3
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Female,Yes,2
Male,Yes,2
Male,Yes,4
Male,Yes,2
Male,Yes,3
Male,Yes,4
Male,Yes,2
Male,No,5
Female,Yes,3
Male,Yes,5
Female,Yes,3
Male,Yes,3
Male,Yes,2
Female,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,No,2
Male,Yes,2
Female,Yes,4
Female,Yes,2
Male,Yes,2
Male,Yes,3
Female,Yes,2
Female,Yes,2
Female,Yes,2
Male,Yes,4
Female,Yes,3
Male,Yes,3
Male,Yes,4
Male,Yes,2
Female,Yes,2
Male,Yes,3
Male,Yes,4
Male,No,4
Female,Yes,2
Female,Yes,3
Female,Yes,2
Male,Yes,5
Male,Yes,2
Male,Yes,2
Female,Yes,4
Male,Yes,2
Female,Yes,2
Male,Yes,1
Female,No,3
Male,Yes,2
Female,Yes,2
Female,Yes,2
Male,No,4
Male,No,2
Female,Yes,2
Male,Yes,4
Male,Yes,3
Male,No,2
Male,No,2
Male,Yes,2
Male,No,2
Male,Yes,2
Male,Yes,2
Female,No,3
Male,No,3
Female,Yes,2
Male,Yes,2
Male,No,2
Female,No,2
