day,time
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Fri,Dinner
Fri,Dinner
Fri,Dinner
Fri,Dinner
Fri,Dinner
Fri,Dinner
Fri,Dinner
Fri,Dinner
Fri,Dinner
Fri,Dinner
Fri,Dinner
Fri,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Sun,Dinner
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Thur,Lunch
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Fri,Lunch
Fri,Lunch
Fri,Lunch
Fri,Lunch
Fri,Lunch
Fri,Lunch
Fri,Lunch
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Sat,Dinner
Thur,Dinner
